,product_category_name,delayed_orders,total_orders,delay_percentage
15,casa_conforto_2,4,24,16.666666666666664
49,moveis_colchao_e_estofado,5,38,13.157894736842104
7,audio,45,350,12.857142857142856
37,fashion_underwear_e_moda_praia,15,121,12.396694214876034
46,livros_tecnicos,28,260,10.76923076923077
14,casa_conforto,41,397,10.327455919395465
1,alimentos,44,450,9.777777777777779
29,eletronicos,247,2550,9.686274509803921
6,artigos_de_natal,12,128,9.375
52,moveis_escritorio,115,1273,9.03377847604085
22,construcao_ferramentas_iluminacao,22,244,9.01639344262295
20,construcao_ferramentas_construcao,67,748,8.957219251336898
9,bebes,258,2885,8.942807625649914
11,beleza_saude,776,8836,8.782254413761883
4,artes_e_artesanato,2,23,8.695652173913043
13,cama_mesa_banho,811,9416,8.612999150382327
43,instrumentos_musicais,54,628,8.598726114649681
8,automotivo,328,3897,8.416730818578394
62,relogios_presentes,468,5624,8.321479374110954
65,telefonia,349,4198,8.313482610767032
51,moveis_decoracao,535,6446,8.299720757058642
54,moveis_sala,35,422,8.293838862559241
41,industria_comercio_e_negocios,19,235,8.085106382978724
16,casa_construcao,39,490,7.959183673469387
55,musica,3,38,7.894736842105263
19,consoles_games,83,1062,7.8154425612052725
38,ferramentas_jardim,274,3517,7.790730736423088
17,cine_foto,5,65,7.6923076923076925
56,papelaria,176,2311,7.6157507572479455
31,esporte_lazer,584,7718,7.566727131381187
42,informatica_acessorios,503,6689,7.519808641052474
3,artes,15,202,7.425742574257425
34,fashion_esporte,2,27,7.4074074074074066
53,moveis_quarto,7,95,7.368421052631578
12,brinquedos,286,3886,7.3597529593412245
58,perfumaria,228,3162,7.2106261859582546
57,pcs,13,181,7.18232044198895
61,portateis_cozinha_e_preparadores_de_alimentos,1,14,7.142857142857142
28,eletrodomesticos_2,16,234,6.837606837606838
67,utilidades_domesticas,399,5884,6.7811012916383415
26,dvds_blu_ray,4,59,6.779661016949152
23,construcao_ferramentas_jardim,13,194,6.701030927835052
25,cool_stuff,243,3629,6.696059520529071
60,portateis_casa_forno_e_cafe,5,75,6.666666666666667
45,livros_interesse_geral,34,512,6.640625
27,eletrodomesticos,50,764,6.544502617801047
32,fashion_bolsas_e_acessorios,121,1864,6.491416309012875
10,bebidas,19,297,6.397306397306397
64,tablets_impressao_imagem,5,79,6.329113924050633
33,fashion_calcados,15,240,6.25
59,pet_shop,106,1710,6.1988304093567255
21,construcao_ferramentas_ferramentas,6,97,6.185567010309279
2,alimentos_bebidas,14,227,6.167400881057269
30,eletroportateis,38,629,6.041335453100159
63,sinalizacao_e_seguranca,8,140,5.714285714285714
47,malas_acessorios,56,1034,5.415860735009671
35,fashion_roupa_feminina,2,39,5.128205128205128
66,telefonia_fixa,11,217,5.0691244239631335
0,agro_industria_e_comercio,9,182,4.945054945054945
48,market_place,13,280,4.642857142857143
36,fashion_roupa_masculina,5,112,4.464285714285714
50,moveis_cozinha_area_de_servico_jantar_e_jardim,11,248,4.435483870967742
24,construcao_ferramentas_seguranca,7,166,4.216867469879518
18,climatizacao,10,253,3.9525691699604746
44,livros_importados,2,53,3.7735849056603774
40,fraldas_higiene,1,27,3.7037037037037033
39,flores,1,29,3.4482758620689653
5,artigos_de_festas,1,39,2.564102564102564
