customer_state,total_orders,delayed_orders,delayed_percent
AL,412,95,"0,2306"
MA,746,141,"0,189"
PI,494,76,"0,1538"
CE,1332,196,"0,1471"
SE,349,51,"0,1461"
BA,3378,457,"0,1353"
RJ,12832,1664,"0,1297"
TO,280,35,"0,125"
PA,972,117,"0,1204"
ES,2031,244,"0,1201"
MS,715,81,"0,1133"
RR,46,5,"0,1087"
PB,535,57,"0,1065"
RN,485,51,"0,1052"
PE,1652,172,"0,1041"
SC,3631,346,"0,0953"
GO,2018,160,"0,0793"
RS,5456,382,"0,07"
DF,2137,147,"0,0688"
MT,907,60,"0,0662"
SP,41667,2387,"0,0573"
MG,11619,638,"0,0549"
PR,5038,246,"0,0488"
AP,68,3,"0,0441"
AM,148,6,"0,0405"
AC,81,3,"0,037"
RO,252,7,"0,0278"
